Index Refs Address            Size       Wired      Name (Version) UUID <Linked Against>
    1   97 0xffffff7f80c00000 0x9e50     0x9e50     com.apple.kpi.bsd (18.2.0) 53F68796-15D8-42EF-ADA5-F8123FB250E0
    2   16 0xffffff7f80d10000 0x3900     0x3900     com.apple.kpi.dsep (18.2.0) 942DF532-DA39-47A4-94C6-35CC08238B7A
    3  120 0xffffff7f80c2a000 0x21be0    0x21be0    com.apple.kpi.iokit (18.2.0) 485B8445-9986-42F3-B8D0-9BAB1B6DBF8D
    4    0 0xffffff7f82a13000 0x34b0     0x34b0     com.apple.kpi.kasan (18.2.0) 684C2E43-81D7-4C55-A0F3-97DB154B70E9
    5  128 0xffffff7f80c0a000 0xd7b0     0xd7b0     com.apple.kpi.libkern (18.2.0) 2710D2EE-C696-4349-A1DE-A746D2391281
    6  113 0xffffff7f80c18000 0x3f60     0x3f60     com.apple.kpi.mach (18.2.0) 2C208D17-1E8E-4D16-91A7-3B5260FDD6AC
    7   73 0xffffff7f80c1c000 0xd480     0xd480     com.apple.kpi.private (18.2.0) 5F3C0F51-6E3F-4A9A-B37B-603BFF97D932
    8   84 0xffffff7f80c8f000 0x5ed0     0x5ed0     com.apple.kpi.unsupported (18.2.0) 7B7E8683-CCD5-46C3-9B85-AD6C227DAF27
    9    9 0xffffff7f81274000 0xb5000    0xb5000    com.apple.kec.corecrypto (1.0) 0F77793D-78A0-3EA4-B2AC-A287F438DE3A <8 7 6 5 3 1>
   10    2 0xffffff7f81a8a000 0x10000    0x10000    com.apple.kec.Libm (1) 1B82D7C4-28DD-31CC-9D03-52579B15FBAC <5>
   11    0 0xffffff7f82113000 0xa000     0xa000     com.apple.kec.pthread (1) 6EE76787-10DD-3FD2-A8C9-CFA31548D58B <8 7 6 5 3 1>
   12   29 0xffffff7f80d14000 0x9000     0x9000     com.apple.iokit.IOACPIFamily (1.4) 99A8A054-9F64-3FB8-BB1D-5973F8AB04A1 <8 7 5 3>
   13   34 0xffffff7f80c95000 0x35000    0x35000    com.apple.iokit.IOPCIFamily (2.9) 7EA30FDD-A2FB-390F-99DD-42BC19691BB4 <8 7 6 5 3>
   14    9 0xffffff7f8142f000 0x1e000    0x1e000    com.apple.driver.AppleSMC (3.1.9) 9FAF842D-CCF4-3F6A-893D-DD542139F128 <13 12 8 7 6 5 3 1>
   15    2 0xffffff7f821cc000 0x9c000    0x9c000    com.apple.driver.AppleACPIPlatform (6.1) 52CE91F1-D89E-3BF2-A5BE-0A914968DC65 <14 13 12 8 7 6 5 3 1>
   16    6 0xffffff7f80d1d000 0x22000    0x22000    as.vit9696.Lilu (1.2.9) FA3FA937-C98D-3198-ADFA-EFAF0F495408 <8 6 5 3 2 1>
   17    1 0xffffff7f80e80000 0x64000    0x64000    as.vit9696.WhateverGreen (1.2.5) 171AE9D4-4E02-3057-9BBF-46433613EF03 <16 13 8 6 5 3 2 1>
   18    1 0xffffff7f80ee6000 0xea000    0xea000    as.vit9696.AppleALC (1.3.4) 5A1678E9-EEB8-3646-9244-5B589288D960 <16 13 8 6 5 3 2 1>
   19    0 0xffffff7f80fd6000 0x2000     0x2000     com.apple.security.LiluFriend (1.1.0) 93ADB971-A290-3172-8A5F-AA5B7F7741CE <18 17 16 8 6 5 3 1>
   20    0 0xffffff7f8100a000 0x4000     0x4000     com.rehabman.driver.USBInjectAll (0.7.1) A5767EA0-3760-3131-B996-28EE85139CF5 <13 12 5 3>
   21    2 0xffffff7f80d3f000 0x12000    0x12000    as.vit9696.VirtualSMC (1.0.2) E8ACBAE2-9DDB-364C-AD70-D4D108F7D932 <16 12 8 6 5 3 2 1>
   22    4 0xffffff7f81015000 0x4000     0x4000     com.apple.iokit.IOSMBusFamily (1.1) BC6BE924-53E3-318A-A1B7-B896FA559717 <6 5 3>
   23    0 0xffffff7f81019000 0xc000     0xc000     ru.usrsse2.SMCBatteryManager (1) 58D89FE4-E9AB-3926-ABB9-9F3EEBBDD457 <22 21 16 12 8 6 5 3 2 1>
   24    6 0xffffff7f81166000 0x30000    0x30000    com.apple.iokit.IONetworkingFamily (3.4) 3F8CF549-42D5-33F3-A686-5FDFCB7F45AC <8 7 6 5 3 1>
   25    2 0xffffff7f8119d000 0x2d000    0x2d000    com.apple.iokit.IOTimeSyncFamily (700.7) BCD63A8F-C0E9-3D46-99D2-C85405701F54 <24 6 5 3 1>
   26    5 0xffffff7f8195a000 0x7000     0x7000     com.apple.iokit.IOReportFamily (47) 75A625B5-0DEB-343A-A723-9D72533F098C <6 5 3>
   27    4 0xffffff7f81a9a000 0x7000     0x7000     com.apple.driver.IOSlaveProcessor (1) EB5E38E3-BB7B-358C-96AE-C3D60383179A <5 3>
   28    3 0xffffff7f827d1000 0x18000    0x18000    com.apple.driver.AppleSEPManager (1.0.1) 87D52C5F-5190-3029-A328-9367CB797765 <27 13 9 8 7 6 5 3 1>
   29    1 0xffffff7f8144f000 0x8000     0x8000     com.apple.driver.AppleBusPowerController (1.0) 259C3224-6994-3543-8911-D6B91EAD498C <14 12 7 6 5 3>
   30    7 0xffffff7f81457000 0x8000     0x8000     com.apple.driver.usb.AppleUSBCommon (1.0) 46BD3E9A-9FF2-3806-B397-F45A4E834547 <6 5 3 1>
   31   14 0xffffff7f8145f000 0x7b000    0x7b000    com.apple.iokit.IOUSBHostFamily (1.2) 28523125-5E51-38C1-B721-16166115E54E <30 29 8 7 6 5 3 1>
   32    3 0xffffff7f81db2000 0x1d000    0x1d000    com.apple.driver.KernelRelayHost (1) 7E192DB5-F832-3D89-AF6E-4BE28762F02E <31 6 5 3>
   33    1 0xffffff7f827fe000 0x3e000    0x3e000    com.apple.driver.AppleCredentialManager (1.0) 623BD357-6A0F-3172-B615-F21FB1FF8DEC <32 28 27 9 8 7 6 5 3 1>
   34    8 0xffffff7f81132000 0x28000    0x28000    com.apple.iokit.IOStorageFamily (2.1) 7D6A3E9B-D1CD-3F8B-9800-C4B943806679 <8 7 6 5 3 1>
   35    3 0xffffff7f80c4c000 0x2b000    0x2b000    com.apple.iokit.IOSCSIArchitectureModelFamily (408.200.1) 2D5CF6DE-6FFA-3B50-B138-3BE3D4427812 <7 6 5 3 1>
   36    1 0xffffff7f82136000 0x19000    0x19000    com.apple.iokit.IOSCSIBlockCommandsDevice (408.200.1) 49698A27-4262-35B9-9E19-0FE108416B54 <35 34 7 6 5 3 1>
   37    1 0xffffff7f82153000 0x2d000    0x2d000    com.apple.iokit.IOUSBMassStorageDriver (145.200.2) C9501B48-4947-3E28-A419-0729222A250E <35 34 31 7 6 5 3 1>
   38    1 0xffffff7f81329000 0xa000     0xa000     com.apple.kext.CoreTrust (1) 3BD2FF78-359B-3C2A-8775-EEDD0BE3F98B <9 5>
   39    5 0xffffff7f81333000 0x1d000    0x1d000    com.apple.driver.AppleMobileFileIntegrity (1.0.5) A69BF990-ABB3-3731-A7A2-9C1FB76BCF6F <38 9 8 7 6 5 3 2 1>
